rw_mix,size,latency_ns,bandwidth_MBps
allwrites,4,2.05,37016.8
allwrites,4,2.02,36132.9
allwrites,4,1.96,35819.9
allwrites,4,1.95,35055.0
allwrites,4,2.05,32860.5
allwrites,4,1.94,33902.7
allwrites,4,2.02,32002.8
allwrites,8,2.06,891346.7
allwrites,8,2.03,811167.7
allwrites,8,1.98,610319.6
allwrites,8,2.05,310342.8
allwrites,8,2.05,136582.9
allwrites,8,2.03,86348.7
allwrites,8,2.01,64220.2
allwrites,8,2.05,53699.8
allwrites,8,2.04,48949.4
allwrites,8,2.05,45474.1
allwrites,8,1.98,43116.1
allwrites,8,2.01,39379.2
allwrites,8,2.04,37206.7
