mode,kernel,dtype,N,misaligned,tail_multiple,mean_GFLOPs,mean_CPE,count
Scalar,saxpy,i32,1941,0,0,7.581431166666667,0.9234110555555556,18.0
Scalar,saxpy,i32,1941,0,1,7.316611368421053,0.9575909999999999,19.0
Scalar,saxpy,i32,1941,1,0,7.7494295555555555,0.9033063888888889,18.0
Scalar,saxpy,i32,1941,1,1,7.54129363157895,0.9282652631578948,19.0
Scalar,saxpy,i32,2704,0,0,7.303537944444445,0.9592926666666666,18.0
Scalar,saxpy,i32,2704,0,1,7.465163049999999,0.93835965,20.0
Scalar,saxpy,i32,2704,1,0,7.626101210526317,0.917922,19.0
Scalar,saxpy,i32,2704,1,1,7.838346277777777,0.8930495555555554,18.0
Scalar,saxpy,i32,3767,0,0,7.391427944444445,0.9473622222222221,18.0
Scalar,saxpy,i32,3767,0,1,7.6887400526315774,0.9104411052631578,19.0
Scalar,saxpy,i32,3767,1,0,7.488543944444444,0.9354994444444444,18.0
Scalar,saxpy,i32,3767,1,1,7.902013315789473,0.8858925789473685,19.0
Scalar,saxpy,i32,5248,0,0,7.392467944444443,0.9501893888888888,18.0
Scalar,saxpy,i32,5248,0,1,7.7204975,0.9066784999999999,18.0
Scalar,saxpy,i32,5248,1,0,7.843498722222222,0.8929038888888888,18.0
Scalar,saxpy,i32,5248,1,1,7.392207842105264,0.9476242631578948,19.0
Scalar,saxpy,i32,7312,0,0,7.531034894736841,0.9294887368421052,19.0
Scalar,saxpy,i32,7312,0,1,7.5616115,0.9264034444444444,18.0
Scalar,saxpy,i32,7312,1,0,7.599709,0.9329611666666666,18.0
Scalar,saxpy,i32,7312,1,1,7.543598050000002,0.9286346,20.0
Scalar,saxpy,i32,10186,0,0,7.537557105263158,0.9288086842105263,19.0
Scalar,saxpy,i32,10186,0,1,7.556376277777777,0.927037611111111,18.0
Scalar,saxpy,i32,10186,1,0,7.559706777777777,0.9274708333333334,18.0
Scalar,saxpy,i32,10186,1,1,7.477962111111111,0.9371550555555557,18.0
Scalar,saxpy,i32,14191,0,0,7.447330444444445,0.9400705555555555,18.0
Scalar,saxpy,i32,14191,0,1,7.615484499999998,0.9231829444444446,18.0
Scalar,saxpy,i32,14191,1,0,6.680609444444444,1.0731705555555555,18.0
Scalar,saxpy,i32,14191,1,1,7.438994500000001,0.9414339444444444,18.0
Scalar,saxpy,i32,19771,0,0,8.040719263157897,0.8705698421052631,19.0
Scalar,saxpy,i32,19771,0,1,7.737406944444444,0.9047063333333332,18.0
Scalar,saxpy,i32,19771,1,0,7.867249611111112,0.8898977777777779,18.0
Scalar,saxpy,i32,19771,1,1,7.907041499999999,0.8854595000000001,18.0
Scalar,saxpy,i32,27544,0,0,7.886435611111111,0.8877584999999999,18.0
Scalar,saxpy,i32,27544,0,1,7.555975444444444,0.9265197222222221,18.0
Scalar,saxpy,i32,27544,1,0,7.930387611111111,0.8828315555555555,18.0
Scalar,saxpy,i32,27544,1,1,7.983713722222221,0.8770612777777778,18.0
Scalar,saxpy,i32,38374,0,0,7.819992055555555,0.895142611111111,18.0
Scalar,saxpy,i32,38374,0,1,7.568015611111111,0.9258583333333333,18.0
Scalar,saxpy,i32,38374,1,0,7.978066736842106,0.877578894736842,19.0
Scalar,saxpy,i32,38374,1,1,7.633515722222223,0.919478888888889,18.0
Scalar,saxpy,i32,53461,0,0,7.977698111111112,0.8798516111111111,18.0
Scalar,saxpy,i32,53461,0,1,7.759600888888889,0.9021093333333332,18.0
Scalar,saxpy,i32,53461,1,0,8.06196977777778,0.8682752777777778,18.0
Scalar,saxpy,i32,53461,1,1,7.885316055555555,0.8880481666666666,18.0
Scalar,saxpy,i32,74480,0,0,8.069497722222222,0.8674642777777778,18.0
Scalar,saxpy,i32,74480,0,1,7.768818611111111,0.9010391666666666,18.0
Scalar,saxpy,i32,74480,1,0,7.98662561111111,0.8766432777777778,18.0
Scalar,saxpy,i32,74480,1,1,7.835028499999999,0.8951910555555556,18.0
Scalar,saxpy,i32,103763,0,0,8.071937368421054,0.8672022631578948,19.0
Scalar,saxpy,i32,103763,0,1,7.228293666666667,0.9817023888888888,18.0
Scalar,saxpy,i32,103763,1,0,8.048741444444444,0.8697456666666666,18.0
Scalar,saxpy,i32,103763,1,1,7.840057666666667,0.8938226666666667,18.0
Scalar,saxpy,i32,144560,0,0,8.017612166666668,0.8731795000000001,18.0
Scalar,saxpy,i32,144560,0,1,7.570025277777777,0.9248109444444444,18.0
Scalar,saxpy,i32,144560,1,0,7.282735888888889,0.9708018333333334,18.0
Scalar,saxpy,i32,144560,1,1,6.9600554444444445,1.021058,18.0
Scalar,saxpy,i32,201396,0,0,7.977677888888888,0.8777172222222223,18.0
Scalar,saxpy,i32,201396,0,1,7.531599722222221,0.9302972777777777,18.0
Scalar,saxpy,i32,201396,1,0,7.389813944444445,0.9480487777777777,18.0
Scalar,saxpy,i32,201396,1,1,7.8915043888888885,0.8876863888888888,18.0
Scalar,saxpy,i32,280578,0,0,7.281666111111111,0.9807525555555555,18.0
Scalar,saxpy,i32,280578,0,1,7.667011222222222,0.913329888888889,18.0
