kernel,dtype,N,trial,GFLOPs,CPE
saxpy,f32,3981793,9,3.113230,1.670291
saxpy,f32,5547302,0,2.814240,1.847746
saxpy,f32,5547302,1,3.552035,1.463950
saxpy,f32,5547302,2,3.901228,1.332914
saxpy,f32,5547302,3,3.620579,1.436235
saxpy,f32,5547302,4,3.329175,1.561949
saxpy,f32,5547302,5,3.396488,1.530993
saxpy,f32,5547302,6,3.298148,1.576642
saxpy,f32,5547302,7,3.461827,1.502097
saxpy,f32,5547302,8,2.976250,1.747165
saxpy,f32,5547302,9,3.152438,1.649517
saxpy,f32,7728318,0,3.958026,1.313786
saxpy,f32,7728318,1,3.344092,1.554981
saxpy,f32,7728318,2,3.689499,1.409405
saxpy,f32,7728318,3,3.932576,1.322288
saxpy,f32,7728318,4,3.705363,1.403371
saxpy,f32,7728318,5,4.149010,1.253311
saxpy,f32,7728318,6,3.311197,1.570429
saxpy,f32,7728318,7,3.089213,1.683277
saxpy,f32,7728318,8,2.627070,1.979391
saxpy,f32,7728318,9,3.035874,1.712851
saxpy,f32,10766836,0,2.634520,1.973794
saxpy,f32,10766836,1,3.142078,1.654956
saxpy,f32,10766836,2,2.987852,1.740381
saxpy,f32,10766836,3,4.009627,1.296879
saxpy,f32,10766836,4,3.673166,1.415672
saxpy,f32,10766836,5,3.057972,1.700473
saxpy,f32,10766836,6,2.340139,2.222090
saxpy,f32,10766836,7,2.242444,2.318899
saxpy,f32,10766836,8,2.688285,1.934319
saxpy,f32,10766836,9,2.422751,2.146320
saxpy,f32,15000000,0,3.077847,1.689493
saxpy,f32,15000000,1,2.766604,1.879561
saxpy,f32,15000000,2,2.755592,1.887072
saxpy,f32,15000000,3,3.057839,1.700547
saxpy,f32,15000000,4,3.038098,1.711597
saxpy,f32,15000000,5,2.783559,1.868112
saxpy,f32,15000000,6,2.937906,1.769968
saxpy,f32,15000000,7,2.960861,1.756246
saxpy,f32,15000000,8,2.846718,1.826665
saxpy,f32,15000000,9,2.789435,1.864177
