kernel,dtype,N,trial,GFLOPs,CPE
saxpy,f32,1056978,9,2.274394,2.286323
saxpy,f32,1472547,0,1.640062,3.170612
saxpy,f32,1472547,1,1.770025,2.937811
saxpy,f32,1472547,2,1.771307,2.935685
saxpy,f32,1472547,3,3.410316,1.524786
saxpy,f32,1472547,4,2.571247,2.022365
saxpy,f32,1472547,5,2.784988,1.867154
saxpy,f32,1472547,6,2.858743,1.818981
saxpy,f32,1472547,7,1.889425,2.752160
saxpy,f32,1472547,8,2.211875,2.350946
saxpy,f32,1472547,9,3.513225,1.480122
saxpy,f32,2051504,0,1.687707,3.081104
saxpy,f32,2051504,1,1.919803,2.708612
saxpy,f32,2051504,2,2.375684,2.188843
saxpy,f32,2051504,3,2.331290,2.230524
saxpy,f32,2051504,4,2.109030,2.465589
saxpy,f32,2051504,5,2.278940,2.281763
saxpy,f32,2051504,6,3.177993,1.636253
saxpy,f32,2051504,7,3.210542,1.619664
saxpy,f32,2051504,8,2.506667,2.074468
saxpy,f32,2051504,9,2.220223,2.342107
saxpy,f32,2858088,0,1.618487,3.212878
saxpy,f32,2858088,1,2.077870,2.502562
saxpy,f32,2858088,2,2.517107,2.065864
saxpy,f32,2858088,3,1.801107,2.887114
saxpy,f32,2858088,4,1.967772,2.642582
saxpy,f32,2858088,5,2.134887,2.435726
saxpy,f32,2858088,6,1.403351,3.705416
saxpy,f32,2858088,7,2.283572,2.277134
saxpy,f32,2858088,8,1.985670,2.618763
saxpy,f32,2858088,9,2.017120,2.577933
saxpy,f32,3981793,0,2.361668,2.201833
saxpy,f32,3981793,1,3.207848,1.621024
saxpy,f32,3981793,2,3.021251,1.721141
saxpy,f32,3981793,3,3.569935,1.456609
saxpy,f32,3981793,4,3.638258,1.429256
saxpy,f32,3981793,5,2.714342,1.915750
saxpy,f32,3981793,6,2.710903,1.918180
saxpy,f32,3981793,7,2.414108,2.154005
saxpy,f32,3981793,8,1.996076,2.605111
saxpy,f32,3981793,9,1.190931,4.366333
saxpy,f32,5547302,0,2.072083,2.509552
saxpy,f32,5547302,1,1.956019,2.658461
saxpy,f32,5547302,2,2.115953,2.457522
saxpy,f32,5547302,3,1.785459,2.912416
saxpy,f32,5547302,4,2.154252,2.413831
saxpy,f32,5547302,5,1.756428,2.960554
saxpy,f32,5547302,6,2.322984,2.238500
saxpy,f32,5547302,7,2.006373,2.591741
saxpy,f32,5547302,8,1.917745,2.711518
saxpy,f32,5547302,9,1.824089,2.850738
saxpy,f32,7728318,0,2.378002,2.186710
saxpy,f32,7728318,1,3.139337,1.656401
saxpy,f32,7728318,2,1.885498,2.757892
saxpy,f32,7728318,3,2.326258,2.235349
saxpy,f32,7728318,4,3.016787,1.723688
saxpy,f32,7728318,5,3.065596,1.696244
saxpy,f32,7728318,6,3.199771,1.625116
saxpy,f32,7728318,7,3.227974,1.610917
saxpy,f32,7728318,8,3.145295,1.653263
saxpy,f32,7728318,9,2.330152,2.231615
saxpy,f32,10766836,0,2.505724,2.075249
saxpy,f32,10766836,1,1.945749,2.672492
saxpy,f32,10766836,2,1.611434,3.226939
saxpy,f32,10766836,3,1.767130,2.942624
saxpy,f32,10766836,4,1.990549,2.612344
saxpy,f32,10766836,5,1.955413,2.659285
saxpy,f32,10766836,6,2.444269,2.127426
saxpy,f32,10766836,7,2.388795,2.176830
saxpy,f32,10766836,8,2.219252,2.343132
saxpy,f32,10766836,9,3.277534,1.586559
saxpy,f32,15000000,0,2.573228,2.020808
saxpy,f32,15000000,1,2.953041,1.760896
saxpy,f32,15000000,2,2.745525,1.893991
saxpy,f32,15000000,3,3.166878,1.641996
saxpy,f32,15000000,4,3.088077,1.683896
saxpy,f32,15000000,5,3.266217,1.592056
saxpy,f32,15000000,6,2.305593,2.255385
saxpy,f32,15000000,7,2.354985,2.208082
saxpy,f32,15000000,8,2.828201,1.838624
saxpy,f32,15000000,9,2.575863,2.018741
